gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
9,38,2017-03-03,06:17:14,18.243611,7.711199,18.085230,1,16.251987,06:17:14,70.49504,11.618016,94.87942,9.0,33.940124,-118.133254,24.03148,4,10.482956,-0.8949127,-2.1631165,9.958609572078633,-0.15588596903322094,-2.596853852804869,-25.51117,46.770477,-21.778107,-0.014862061,0.00091552734,0.0034942627,wonhee
9,39,2017-03-03,06:17:14,18.243611,7.711199,19.329052,1,16.251987,06:17:14,72.555336,15.122128,86.00907,9.0,33.940124,-118.133254,24.03148,4,9.363113,0.653244,-2.5363922,9.79773247396795,0.06270551833349941,-2.580519761718046,-26.101303,46.666718,-22.146606,-0.011062622,0.029266357,-0.011276245,wonhee
9,40,2017-03-03,06:17:14,18.243611,7.711199,19.759316,1,16.251987,06:17:14,74.58456,4.3580036,91.819626,7.0,33.940124,-118.133254,24.03148,4,9.791428,-0.31106567,-0.7465668,9.796029281162838,-0.03827109001858031,-2.085065976804303,-26.26648,46.752167,-21.77887,-0.010696411,0.016311646,0.017059326,wonhee
9,41,2017-03-03,06:17:14,18.243611,7.711199,21.034682,1,16.251987,06:17:14,72.37054,15.444445,86.93146,9.0,33.940124,-118.133254,24.03148,4,9.418152,0.5048828,-2.6057892,9.693943386328762,0.10846530737616417,-2.225742590220258,-26.013184,46.84868,-21.96312,-0.011428833,-0.030349731,0.0070343018,wonhee
9,42,2017-03-03,06:17:14,18.243611,7.711199,21.543252,1,16.251987,06:17:14,74.19706,5.2600427,91.25012,9.0,33.940124,-118.133254,24.03148,4,9.978073,-0.21774292,-0.9188385,9.770702766439845,0.02033812838558359,-1.8726743319216992,-25.769424,46.49315,-21.86966,-0.011428833,0.015823364,0.012039185,wonhee
10,43,2017-03-03,06:17:15,22.028672,11.588142,22.152974,1,26.099687,06:17:15,75.1935,6.772287,86.21726,9.0,33.940086,-118.133174,23.907295,4,9.590439,0.63409424,-1.1413727,9.722003390160367,0.18614815451367878,-1.675108653304663,-25.52414,46.228027,-21.684647,-0.012649536,0.025222778,-0.00090026855,wonhee
10,44,2017-03-03,06:17:15,22.028672,11.588142,22.885598,1,26.099687,06:17:15,72.97101,7.768227,91.17918,9.0,33.940086,-118.133174,23.907295,4,10.346573,-0.21296692,-1.4117584,9.890734750005484,0.0783247378817532,-1.6039629464761462,-26.031113,46.125793,-21.869278,-0.010696411,0.0020141602,-0.008972168,wonhee
10,45,2017-03-03,06:17:15,22.028672,11.588142,23.757445,1,26.099687,06:17:15,73.12949,9.628369,89.28251,9.0,33.940086,-118.133174,23.907295,4,10.126419,0.1268158,-1.7180481,9.95440631418195,0.09142489953327985,-1.6347837593830126,-26.454544,45.934296,-21.500778,-0.012039185,-0.020462036,-0.00065612793,wonhee
10,46,2017-03-03,06:17:15,22.028672,11.588142,24.555329,1,26.099687,06:17:15,72.652176,8.940918,91.53957,9.0,33.940086,-118.133174,23.907295,4,9.882355,-0.26560974,-1.5553284,9.93494120408216,-0.0050302261901005035,-1.613318400479173,-27.0298,46.46263,-21.595001,-0.012039185,0.00018310547,0.023895264,wonhee
10,47,2017-03-03,06:17:15,22.028672,11.588142,25.431525,1,26.099687,06:17:15,73.07336,10.218601,89.37055,9.0,33.940086,-118.133174,23.907295,4,9.583252,0.105285645,-1.7276154,9.83993018095111,0.024772291679955556,-1.6441964448980335,-27.354813,46.9059,-21.688843,-0.011428833,0.0017700195,0.0069122314,wonhee
11,48,2017-03-03,06:17:16,27.303266,15.838934,26.305550,1,38.305343,06:17:16,72.68646,9.032624,92.16374,9.0,33.940031,-118.133079,24.277212,4,10.82991,-0.4091797,-1.7228394,10.107379378694821,-0.0924625345264944,-1.6654423277387795,-27.352142,46.995926,-21.504974,-0.014968872,0.01838684,0.019256592,wonhee
11,49,2017-03-03,06:17:16,27.303266,15.838934,27.267673,1,38.305343,06:17:16,73.08592,10.762555,91.223755,9.0,33.940031,-118.133079,24.277212,4,10.080963,-0.21534729,-1.9166565,10.10024282989526,-0.12566061456199557,-1.733309396885353,-27.005386,47.454834,-21.045685,-0.009353638,-0.027175903,-0.008117676,wonhee
11,50,2017-03-03,06:17:16,27.303266,15.838934,28.135171,1,38.305343,06:17:16,73.808754,10.238535,89.98549,7.0,33.940031,-118.133079,24.277212,4,9.458832,0.0023956299,-1.7084808,9.926961709837293,-0.09106542465163062,-1.7266017972047174,-25.927734,46.847916,-20.858765,-0.012161255,-0.018753052,-0.0076293945,wonhee
11,51,2017-03-03,06:17:16,27.303266,15.838934,28.769911,1,38.305343,06:17:16,75.53001,6.3880625,90.0513,9.0,33.940031,-118.133079,24.277212,4,10.68634,-0.009567261,-1.1964111,10.132112472085225,-0.0690481894850098,-1.5833674868782988,-25.84343,46.849823,-20.58258,-0.0070343018,0.016311646,-0.021911621,wonhee
11,52,2017-03-03,06:17:16,27.303266,15.838934,28.769911,1,38.305343,06:17:16,76.10638,8.314187,85.73094,7.0,33.940031,-118.133079,24.277212,4,6.9559326,0.51924133,-1.0193481,9.274047749619701,0.08988187858285344,-1.4309941458970872,-25.849915,46.578217,-20.490265,-0.013504028,0.014480591,0.016937256,wonhee
12,53,2017-03-03,06:17:17,31.406496,20.047378,32.035797,1,52.345307,06:17:17,76.71433,7.369688,83.17212,9.0,33.939969,-118.132969,24.522943,4,9.092728,1.0887299,-1.1844482,9.225063092924927,0.35972687628439876,-1.3643882271012182,-26.028442,46.12274,-20.67337,-0.002380371,0.06163025,-0.012756348,wonhee
12,54,2017-03-03,06:17:17,31.406496,20.047378,33.022931,1,52.345307,06:17:17,73.166664,10.838075,90.09321,9.0,33.939969,-118.132969,24.522943,4,10.298706,-0.01675415,-1.9716797,9.515114393603188,0.25801818838185653,-1.5284517909215045,-26.524734,46.47255,-20.95108,-0.0025177002,0.031326294,0.03477478,wonhee
12,55,2017-03-03,06:17:17,31.406496,20.047378,34.025297,1,52.345307,06:17:17,71.68227,12.005176,91.70132,9.0,33.939969,-118.132969,24.522943,4,9.4253235,-0.279953,-2.005188,9.49085682592678,0.11268193003252786,-1.6572450392281988,-26.5316,46.201706,-21.226883,-0.0022583008,-0.071777344,0.022064209,wonhee
12,56,2017-03-03,06:17:17,31.406496,20.047378,34.999384,1,52.345307,06:17:17,72.848335,10.346397,91.00489,9.0,33.939969,-118.132969,24.522943,4,10.640884,-0.18664551,-1.9429779,9.801543810823851,0.031816762724103734,-1.7344375465015562,-26.360703,46.29593,-21.042633,0.002380371,0.016921997,0.006668091,wonhee
12,57,2017-03-03,06:17:17,31.406496,20.047378,35.567776,1,52.345307,06:17:17,75.71359,6.9618573,86.65136,9.0,33.939969,-118.132969,24.522943,4,8.587845,0.5024872,-1.0504456,9.473655537738562,0.15897130509852953,-1.5496528732839845,-26.262283,46.930313,-21.22879,0.0024871826,0.004211426,0.01461792,wonhee
13,58,2017-03-03,06:17:18,36.711231,24.550802,35.679361,1,68.756701,06:17:18,77.05082,0.26584816,92.981186,9.0,33.939901,-118.132838,24.676195,4,9.786652,-0.5096741,-0.04547119,9.558213476312337,-0.021667404628269132,-1.1432888477612724,-26.258469,47.11113,-21.137238,0.0017700195,0.0060424805,0.016693115,wonhee
